# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
_ch0_neuron0,	0.6775
_ch0_neuron0,	1.5583
_ch0_neuron0,	2.4093
_ch0_neuron0,	3.1469
_ch0_neuron0,	3.8437
_ch0_neuron0,	4.5721
_ch0_neuron0,	5.6100
_ch0_neuron0,	6.6607
_ch0_neuron0,	7.6732
_ch0_neuron0,	8.5397
_ch0_neuron0,	9.3022
_ch0_neuron0,	10.0862
_ch0_neuron0,	11.0886
_ch0_neuron0,	12.0564
_ch0_neuron0,	12.9244
_ch0_neuron0,	13.7543
_ch0_neuron0,	14.7589
_ch0_neuron0,	15.7782
_ch0_neuron0,	16.7423
_ch0_neuron0,	17.6243
_ch0_neuron0,	18.4829
_ch0_neuron0,	19.3935
_ch0_neuron0,	20.3852
_ch0_neuron0,	21.3123
_ch0_neuron0,	22.1968
_ch0_neuron0,	22.9439
_ch0_neuron0,	23.7102
_ch0_neuron0,	24.7245
_ch0_neuron0,	25.7737
_ch0_neuron0,	26.7678
_ch0_neuron0,	27.6601
_ch0_neuron0,	28.4781
_ch0_neuron0,	29.3340
_ch0_neuron0,	30.2613
_ch0_neuron0,	31.2257
_ch0_neuron0,	32.2211
_ch0_neuron0,	33.1376
_ch0_neuron0,	33.9013
_ch0_neuron0,	34.6355
_ch0_neuron0,	35.4139
_ch0_neuron0,	36.4042
_ch0_neuron0,	37.3648
_ch0_neuron0,	38.1579
_ch0_neuron0,	38.9755
_ch0_neuron0,	39.8632
_ch0_neuron0,	40.6195
_ch0_neuron0,	41.3620
_ch0_neuron0,	42.1450
_ch0_neuron0,	43.1116
_ch0_neuron0,	44.1301
_ch0_neuron0,	45.1525
_ch0_neuron0,	46.1568
_ch0_neuron0,	47.1009
_ch0_neuron0,	47.8604
_ch0_neuron0,	48.6229
_ch0_neuron0,	49.5396
_ch0_neuron0,	50.6338
_ch0_neuron0,	51.7155
_ch0_neuron0,	52.7402
_ch0_neuron0,	53.6619
_ch0_neuron0,	54.5470
_ch0_neuron0,	55.4978
_ch0_neuron0,	56.5430
_ch0_neuron0,	57.5441
_ch0_neuron0,	58.5187
_ch0_neuron0,	59.3894
_ch0_neuron0,	60.1727
_ch0_neuron0,	61.0108
_ch0_neuron0,	62.0595
_ch0_neuron0,	63.1082
_ch0_neuron0,	64.1159
_ch0_neuron0,	65.0486
_ch0_neuron0,	65.8577
_ch0_neuron0,	66.7265
_ch0_neuron0,	67.7680
_ch0_neuron0,	68.7453
_ch0_neuron0,	69.7033
_ch0_neuron0,	70.5213
_ch0_neuron0,	71.2666
_ch0_neuron0,	72.0565
_ch0_neuron0,	73.1057
_ch0_neuron0,	74.1460
_ch0_neuron0,	75.1188
_ch0_neuron0,	75.9724
_ch0_neuron0,	76.7734
_ch0_neuron0,	77.6732
_ch0_neuron0,	78.7004
_ch0_neuron0,	79.6758
_ch0_neuron0,	80.6695
_ch0_neuron0,	81.5732
_ch0_neuron0,	82.3338
_ch0_neuron0,	83.0907
_ch0_neuron0,	83.8955
_ch0_neuron0,	84.7785
_ch0_neuron0,	85.5460
_ch0_neuron0,	86.3569
_ch0_neuron0,	87.3360
_ch0_neuron0,	88.1308
