# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
_ch0_neuron0,	0.7380
_ch0_neuron0,	1.7850
_ch0_neuron0,	2.9064
_ch0_neuron0,	3.9846
_ch0_neuron0,	5.0887
_ch0_neuron0,	6.1359
_ch0_neuron0,	7.2381
_ch0_neuron0,	8.3448
_ch0_neuron0,	9.4075
_ch0_neuron0,	10.5105
_ch0_neuron0,	11.6068
_ch0_neuron0,	12.7052
_ch0_neuron0,	13.8124
_ch0_neuron0,	14.9007
_ch0_neuron0,	16.0220
_ch0_neuron0,	17.1359
_ch0_neuron0,	18.2362
_ch0_neuron0,	19.3588
_ch0_neuron0,	20.4881
_ch0_neuron0,	21.5958
_ch0_neuron0,	22.7034
_ch0_neuron0,	23.7560
_ch0_neuron0,	24.8591
_ch0_neuron0,	25.9770
_ch0_neuron0,	27.0652
_ch0_neuron0,	28.2010
_ch0_neuron0,	29.3422
_ch0_neuron0,	30.4415
_ch0_neuron0,	31.5615
_ch0_neuron0,	32.6746
_ch0_neuron0,	33.7372
_ch0_neuron0,	34.8264
_ch0_neuron0,	35.9154
_ch0_neuron0,	36.9705
_ch0_neuron0,	38.0554
_ch0_neuron0,	39.1273
_ch0_neuron0,	40.2302
_ch0_neuron0,	41.3494
_ch0_neuron0,	42.4631
_ch0_neuron0,	43.5631
_ch0_neuron0,	44.6753
_ch0_neuron0,	45.7481
_ch0_neuron0,	46.8113
_ch0_neuron0,	47.8894
_ch0_neuron0,	48.9570
_ch0_neuron0,	50.0575
_ch0_neuron0,	51.1870
_ch0_neuron0,	52.2812
_ch0_neuron0,	53.4287
_ch0_neuron0,	54.5879
_ch0_neuron0,	55.6977
_ch0_neuron0,	56.7742
_ch0_neuron0,	57.8722
_ch0_neuron0,	58.9581
_ch0_neuron0,	60.0752
_ch0_neuron0,	61.2067
_ch0_neuron0,	62.2934
_ch0_neuron0,	63.4168
_ch0_neuron0,	64.5383
_ch0_neuron0,	65.6304
_ch0_neuron0,	66.7679
_ch0_neuron0,	67.8403
_ch0_neuron0,	68.9401
_ch0_neuron0,	70.0558
_ch0_neuron0,	71.1357
_ch0_neuron0,	72.2345
_ch0_neuron0,	73.3538
_ch0_neuron0,	74.4229
_ch0_neuron0,	75.5282
_ch0_neuron0,	76.6322
_ch0_neuron0,	77.6911
_ch0_neuron0,	78.7791
_ch0_neuron0,	79.8627
_ch0_neuron0,	80.8988
_ch0_neuron0,	81.9761
_ch0_neuron0,	83.0630
_ch0_neuron0,	84.1330
_ch0_neuron0,	85.2331
_ch0_neuron0,	86.3147
_ch0_neuron0,	87.3773
_ch0_neuron0,	88.4445
_ch0_neuron0,	89.4873
_ch0_neuron0,	90.5318
_ch0_neuron0,	91.5903
_ch0_neuron0,	92.6249
_ch0_neuron0,	93.6869
_ch0_neuron0,	94.7685
_ch0_neuron0,	95.8126
_ch0_neuron0,	96.8637
_ch0_neuron0,	97.9436
_ch0_neuron0,	98.9952
_ch0_neuron0,	100.0724
_ch0_neuron0,	101.1598
_ch0_neuron0,	102.2207
_ch0_neuron0,	103.3251
_ch0_neuron0,	104.4291
_ch0_neuron0,	105.5174
_ch0_neuron0,	106.6328
_ch0_neuron0,	107.7125
_ch0_neuron0,	108.8160
_ch0_neuron0,	109.9241
_ch0_neuron0,	110.9936
_ch0_neuron0,	112.0870
_ch0_neuron0,	113.1445
_ch0_neuron0,	114.1401
_ch0_neuron0,	115.1283
_ch0_neuron0,	116.1461
_ch0_neuron0,	117.2095
_ch0_neuron0,	118.3230
_ch0_neuron0,	119.3786
_ch0_neuron0,	120.4691
_ch0_neuron0,	121.5624
_ch0_neuron0,	122.5736
_ch0_neuron0,	123.6389
_ch0_neuron0,	124.7207
_ch0_neuron0,	125.7318
_ch0_neuron0,	126.8353
_ch0_neuron0,	127.9765
_ch0_neuron0,	129.0615
_ch0_neuron0,	130.1877
_ch0_neuron0,	131.2740
_ch0_neuron0,	132.3334
_ch0_neuron0,	133.4238
_ch0_neuron0,	134.5257
_ch0_neuron0,	135.5539
_ch0_neuron0,	136.6325
_ch0_neuron0,	137.6850
_ch0_neuron0,	138.7107
_ch0_neuron0,	139.7959
_ch0_neuron0,	140.8635
_ch0_neuron0,	141.9230
_ch0_neuron0,	143.0234
_ch0_neuron0,	144.0829
_ch0_neuron0,	145.1096
_ch0_neuron0,	146.1600
_ch0_neuron0,	147.2101
_ch0_neuron0,	148.2090
_ch0_neuron0,	149.2351
_ch0_neuron0,	150.2824
_ch0_neuron0,	151.2881
_ch0_neuron0,	152.3631
_ch0_neuron0,	153.4509
_ch0_neuron0,	154.4580
_ch0_neuron0,	155.5242
_ch0_neuron0,	156.6134
_ch0_neuron0,	157.6679
_ch0_neuron0,	158.7389
_ch0_neuron0,	159.8038
_ch0_neuron0,	160.8190
_ch0_neuron0,	161.8711
_ch0_neuron0,	162.9322
_ch0_neuron0,	163.9397
_ch0_neuron0,	164.9829
_ch0_neuron0,	166.0418
_ch0_neuron0,	167.0315
_ch0_neuron0,	168.0775
_ch0_neuron0,	169.1376
_ch0_neuron0,	170.1403
_ch0_neuron0,	171.1707
_ch0_neuron0,	172.2164
_ch0_neuron0,	173.2147
_ch0_neuron0,	174.2615
_ch0_neuron0,	175.3305
_ch0_neuron0,	176.3542
_ch0_neuron0,	177.4361
_ch0_neuron0,	178.5057
_ch0_neuron0,	179.5126
_neuron0threshhig15259,	0.0000
_neuron0threshlow5625,	0.0000
