# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
_ch0_neuron0,	0.0738
_ch0_neuron0,	1.1711
_ch0_neuron0,	2.2060
_ch0_neuron0,	3.3066
_ch0_neuron0,	4.4429
_ch0_neuron0,	5.5668
_ch0_neuron0,	6.6310
_ch0_neuron0,	7.7990
_ch0_neuron0,	8.9653
_ch0_neuron0,	10.0390
_ch0_neuron0,	11.1988
_ch0_neuron0,	12.3841
_ch0_neuron0,	13.5372
_ch0_neuron0,	14.6351
_ch0_neuron0,	15.8010
_ch0_neuron0,	16.9327
_ch0_neuron0,	18.0025
_ch0_neuron0,	19.1453
_ch0_neuron0,	20.2845
_ch0_neuron0,	21.3739
_ch0_neuron0,	22.5286
_ch0_neuron0,	23.7276
_ch0_neuron0,	24.8695
_ch0_neuron0,	25.9472
_ch0_neuron0,	27.1522
_ch0_neuron0,	28.3522
_ch0_neuron0,	29.4668
_ch0_neuron0,	30.6483
_ch0_neuron0,	31.8442
_ch0_neuron0,	32.9441
_ch0_neuron0,	34.0665
_ch0_neuron0,	35.2863
_ch0_neuron0,	36.4384
_ch0_neuron0,	37.5375
_ch0_neuron0,	38.7529
_ch0_neuron0,	39.9248
_ch0_neuron0,	41.0245
_ch0_neuron0,	42.2041
_ch0_neuron0,	43.3507
_ch0_neuron0,	44.4442
_ch0_neuron0,	45.6096
_ch0_neuron0,	46.7608
_ch0_neuron0,	47.8242
_ch0_neuron0,	48.9544
_ch0_neuron0,	50.0800
_ch0_neuron0,	51.1485
_ch0_neuron0,	52.0719
_ch0_neuron0,	53.1416
_ch0_neuron0,	54.1712
_ch0_neuron0,	55.2358
_ch0_neuron0,	56.3572
_ch0_neuron0,	57.4181
_ch0_neuron0,	58.4391
_ch0_neuron0,	59.5782
_ch0_neuron0,	60.6764
_ch0_neuron0,	61.7527
_ch0_neuron0,	62.9373
_ch0_neuron0,	64.0929
_ch0_neuron0,	65.1928
_ch0_neuron0,	66.3728
_ch0_neuron0,	67.5176
_ch0_neuron0,	68.5920
_ch0_neuron0,	69.7287
_ch0_neuron0,	70.8682
_ch0_neuron0,	71.9304
_ch0_neuron0,	73.0437
_ch0_neuron0,	74.2086
_ch0_neuron0,	75.2966
_ch0_neuron0,	76.3768
_ch0_neuron0,	77.5234
_ch0_neuron0,	78.6253
_ch0_neuron0,	79.6593
_ch0_neuron0,	80.7944
_ch0_neuron0,	81.9401
_ch0_neuron0,	83.0284
_ch0_neuron0,	84.1382
_ch0_neuron0,	85.2766
_ch0_neuron0,	86.3695
_ch0_neuron0,	87.4666
_ch0_neuron0,	88.6231
_ch0_neuron0,	89.7153
_ch0_neuron0,	90.8127
_ch0_neuron0,	91.9474
_ch0_neuron0,	93.0529
_ch0_neuron0,	94.1010
_ch0_neuron0,	95.2249
_ch0_neuron0,	96.3405
_ch0_neuron0,	97.3847
_ch0_neuron0,	98.4832
_ch0_neuron0,	99.5876
_ch0_neuron0,	100.6280
_ch0_neuron0,	101.6211
_ch0_neuron0,	102.7323
_ch0_neuron0,	103.8628
_ch0_neuron0,	104.9157
_ch0_neuron0,	106.0132
_ch0_neuron0,	107.1548
_ch0_neuron0,	108.2124
_ch0_neuron0,	109.3073
_ch0_neuron0,	110.4447
_ch0_neuron0,	111.5349
_ch0_neuron0,	112.6402
_ch0_neuron0,	113.7624
_ch0_neuron0,	114.8201
_ch0_neuron0,	115.9349
_ch0_neuron0,	117.0908
_ch0_neuron0,	118.1879
_ch0_neuron0,	119.3040
_ch0_neuron0,	120.4935
_ch0_neuron0,	121.6360
_ch0_neuron0,	122.6806
_ch0_neuron0,	123.7765
_ch0_neuron0,	124.9228
_ch0_neuron0,	126.0257
_ch0_neuron0,	127.0558
_ch0_neuron0,	128.1622
_ch0_neuron0,	129.2542
_ch0_neuron0,	130.2523
_ch0_neuron0,	131.2860
_ch0_neuron0,	132.3936
_ch0_neuron0,	133.4785
_ch0_neuron0,	134.5137
_ch0_neuron0,	135.6018
_ch0_neuron0,	136.7013
_ch0_neuron0,	137.7321
_ch0_neuron0,	138.8200
_ch0_neuron0,	139.9131
_ch0_neuron0,	140.9580
_ch0_neuron0,	141.9965
_ch0_neuron0,	143.0856
_ch0_neuron0,	144.1407
_ch0_neuron0,	145.2153
_ch0_neuron0,	146.3124
_ch0_neuron0,	147.3659
_ch0_neuron0,	148.4425
_ch0_neuron0,	149.5539
_ch0_neuron0,	150.6235
_ch0_neuron0,	151.6679
_ch0_neuron0,	152.7596
_ch0_neuron0,	153.7915
_ch0_neuron0,	154.7652
_ch0_neuron0,	155.8043
_ch0_neuron0,	156.9258
_ch0_neuron0,	157.9853
_ch0_neuron0,	159.1321
_ch0_neuron0,	160.2417
_ch0_neuron0,	161.2786
_ch0_neuron0,	162.4026
_ch0_neuron0,	163.5226
_ch0_neuron0,	164.5661
_ch0_neuron0,	165.6397
_ch0_neuron0,	166.7711
_ch0_neuron0,	167.8544
_ch0_neuron0,	168.8806
_ch0_neuron0,	169.9835
_ch0_neuron0,	171.0970
_ch0_neuron0,	172.1580
_ch0_neuron0,	173.2333
_ch0_neuron0,	174.3269
_ch0_neuron0,	175.3911
_ch0_neuron0,	176.4440
_ch0_neuron0,	177.4953
_ch0_neuron0,	178.5366
_ch0_neuron0,	179.5604
_neuron0threshhig13079,	0.0000
_neuron0threshlow4036,	0.0000
