# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
_ch0_neuron0,	0.1513
_ch0_neuron0,	0.3861
_ch0_neuron0,	0.9186
_ch0_neuron0,	1.6101
_ch0_neuron0,	2.3433
_ch0_neuron0,	3.0224
_ch0_neuron0,	3.7281
_ch0_neuron0,	3.9638
_ch0_neuron0,	4.4620
_ch0_neuron0,	5.1478
_ch0_neuron0,	5.8534
_ch0_neuron0,	6.6012
_ch0_neuron0,	6.8496
_ch0_neuron0,	7.2881
_ch0_neuron0,	9.4310
_ch0_neuron0,	10.1395
_ch0_neuron0,	11.5206
_ch0_neuron0,	11.7614
_ch0_neuron0,	12.1997
_ch0_neuron0,	12.4167
_ch0_neuron0,	12.9090
_ch0_neuron0,	13.6397
_ch0_neuron0,	14.3541
_ch0_neuron0,	14.5800
_ch0_neuron0,	15.7133
_ch0_neuron0,	15.8757
_ch0_neuron0,	16.4358
_ch0_neuron0,	17.1362
_ch0_neuron0,	17.8066
_ch0_neuron0,	18.5177
_ch0_neuron0,	19.2088
_ch0_neuron0,	19.4167
_ch0_neuron0,	19.8546
_ch0_neuron0,	20.0948
_ch0_neuron0,	20.5446
_ch0_neuron0,	21.2063
_ch0_neuron0,	21.3106
_ch0_neuron0,	23.1751
_ch0_neuron0,	23.3622
_ch0_neuron0,	23.8679
_ch0_neuron0,	24.5602
_ch0_neuron0,	25.2524
_ch0_neuron0,	25.9534
_ch0_neuron0,	26.1890
_ch0_neuron0,	26.6419
_ch0_neuron0,	26.8791
_ch0_neuron0,	27.3562
_ch0_neuron0,	27.5872
_ch0_neuron0,	28.0300
_ch0_neuron0,	28.7394
_ch0_neuron0,	28.9746
_ch0_neuron0,	29.3963
_ch0_neuron0,	30.0865
_ch0_neuron0,	30.7261
_ch0_neuron0,	30.9668
_ch0_neuron0,	31.2142
_ch0_neuron0,	34.0314
_ch0_neuron0,	34.4446
_ch0_neuron0,	35.2767
_ch0_neuron0,	35.9140
_ch0_neuron0,	36.5825
_ch0_neuron0,	37.2159
_ch0_neuron0,	37.4483
_ch0_neuron0,	37.8714
_ch0_neuron0,	38.0976
_ch0_neuron0,	38.5044
_ch0_neuron0,	39.1730
_ch0_neuron0,	39.3271
