# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
_ch0_neuron0,	0.1173
_ch0_neuron0,	0.9508
_ch0_neuron0,	1.7967
_ch0_neuron0,	2.6195
_ch0_neuron0,	3.4561
_ch0_neuron0,	4.3463
_ch0_neuron0,	5.2243
_ch0_neuron0,	6.1176
_ch0_neuron0,	7.0305
_ch0_neuron0,	7.9694
_ch0_neuron0,	8.8971
_ch0_neuron0,	9.7715
_ch0_neuron0,	10.6581
_ch0_neuron0,	11.5306
_ch0_neuron0,	12.4077
_ch0_neuron0,	13.3052
_ch0_neuron0,	14.2192
_ch0_neuron0,	15.1532
_ch0_neuron0,	16.0308
_ch0_neuron0,	16.9372
_ch0_neuron0,	17.8547
_ch0_neuron0,	18.7302
_ch0_neuron0,	19.5907
_ch0_neuron0,	20.4753
_ch0_neuron0,	21.3479
_ch0_neuron0,	22.1775
_ch0_neuron0,	23.0505
_ch0_neuron0,	23.9378
_ch0_neuron0,	24.7696
_ch0_neuron0,	25.6297
_ch0_neuron0,	26.5414
_ch0_neuron0,	27.4237
_ch0_neuron0,	28.3054
_ch0_neuron0,	29.2129
_ch0_neuron0,	30.1390
_ch0_neuron0,	31.0093
_ch0_neuron0,	31.9193
_ch0_neuron0,	32.8640
_ch0_neuron0,	33.8182
_ch0_neuron0,	34.7537
_ch0_neuron0,	35.6785
_ch0_neuron0,	36.5921
_ch0_neuron0,	37.4633
_ch0_neuron0,	38.3260
_ch0_neuron0,	39.2286
_ch0_neuron0,	40.1687
_ch0_neuron0,	41.0723
_ch0_neuron0,	41.9277
_ch0_neuron0,	42.7901
_ch0_neuron0,	43.6449
_ch0_neuron0,	44.4529
_ch0_neuron0,	45.3139
_ch0_neuron0,	46.2190
_ch0_neuron0,	47.1170
_ch0_neuron0,	47.9997
_ch0_neuron0,	48.9501
_ch0_neuron0,	49.8718
_ch0_neuron0,	50.7582
_ch0_neuron0,	51.7245
_ch0_neuron0,	52.7164
_ch0_neuron0,	53.6472
_ch0_neuron0,	54.5753
_ch0_neuron0,	55.5087
_ch0_neuron0,	56.4358
_ch0_neuron0,	57.3206
_ch0_neuron0,	58.2784
_ch0_neuron0,	59.2598
_ch0_neuron0,	60.2449
_ch0_neuron0,	61.1862
_ch0_neuron0,	62.1473
_ch0_neuron0,	63.1147
_ch0_neuron0,	64.0267
_ch0_neuron0,	64.8964
_ch0_neuron0,	65.7394
_ch0_neuron0,	66.6152
_ch0_neuron0,	67.4239
_ch0_neuron0,	68.2430
_ch0_neuron0,	69.1072
_ch0_neuron0,	69.9638
_ch0_neuron0,	70.7789
_ch0_neuron0,	71.6292
_ch0_neuron0,	72.5203
_ch0_neuron0,	73.3658
_ch0_neuron0,	74.2116
_ch0_neuron0,	75.1066
_ch0_neuron0,	76.0229
_ch0_neuron0,	76.8945
_ch0_neuron0,	77.7726
_ch0_neuron0,	78.6755
_ch0_neuron0,	79.5497
_ch0_neuron0,	80.4132
_ch0_neuron0,	81.2895
_ch0_neuron0,	82.1637
_ch0_neuron0,	82.9881
_ch0_neuron0,	83.8207
_ch0_neuron0,	84.6911
_ch0_neuron0,	85.5486
_ch0_neuron0,	86.3797
_ch0_neuron0,	87.2294
_ch0_neuron0,	88.1105
_ch0_neuron0,	88.9761
_ch0_neuron0,	89.8240
_ch0_neuron0,	90.6980
_ch0_neuron0,	91.5799
_ch0_neuron0,	92.4248
_ch0_neuron0,	93.2428
_ch0_neuron0,	94.0899
_ch0_neuron0,	94.9529
_ch0_neuron0,	95.7916
_ch0_neuron0,	96.6650
_ch0_neuron0,	97.5860
_ch0_neuron0,	98.5069
_ch0_neuron0,	99.3657
_ch0_neuron0,	100.2135
_ch0_neuron0,	101.9039
_ch0_neuron0,	102.7436
_ch0_neuron0,	103.6549
_ch0_neuron0,	104.5962
_ch0_neuron0,	105.4823
_ch0_neuron0,	106.4220
_ch0_neuron0,	107.3650
_ch0_neuron0,	108.2400
_ch0_neuron0,	109.1245
_ch0_neuron0,	110.0015
_ch0_neuron0,	110.8228
_ch0_neuron0,	111.6104
_ch0_neuron0,	112.4263
_ch0_neuron0,	113.2531
_ch0_neuron0,	114.0479
_ch0_neuron0,	114.8652
_ch0_neuron0,	115.7283
_ch0_neuron0,	116.5893
_ch0_neuron0,	117.3977
_ch0_neuron0,	118.2600
_ch0_neuron0,	119.1382
_ch0_neuron0,	119.9800
_ch0_neuron0,	120.8199
_ch0_neuron0,	121.6849
_ch0_neuron0,	122.5388
_ch0_neuron0,	123.3882
_ch0_neuron0,	124.2831
_ch0_neuron0,	125.1794
_ch0_neuron0,	126.0286
_ch0_neuron0,	126.8465
_ch0_neuron0,	127.6631
_ch0_neuron0,	128.4477
_ch0_neuron0,	129.2291
_ch0_neuron0,	130.0493
_ch0_neuron0,	130.8980
_ch0_neuron0,	131.7312
_ch0_neuron0,	132.5881
_ch0_neuron0,	133.5078
_ch0_neuron0,	134.4504
_ch0_neuron0,	135.3252
_ch0_neuron0,	136.1723
_ch0_neuron0,	137.0540
_ch0_neuron0,	137.9582
_ch0_neuron0,	138.8244
_ch0_neuron0,	139.6835
_ch0_neuron0,	140.5532
_ch0_neuron0,	141.4400
_ch0_neuron0,	142.2710
_ch0_neuron0,	143.1141
_ch0_neuron0,	143.9660
_ch0_neuron0,	144.8145
_ch0_neuron0,	145.7239
_ch0_neuron0,	146.6482
_ch0_neuron0,	147.5419
_ch0_neuron0,	148.4139
_ch0_neuron0,	149.2728
_ch0_neuron0,	150.1096
_ch0_neuron0,	150.9656
_ch0_neuron0,	151.8796
_ch0_neuron0,	152.7948
_ch0_neuron0,	153.6977
_ch0_neuron0,	154.6750
_ch0_neuron0,	155.6293
_ch0_neuron0,	156.5724
_ch0_neuron0,	157.5573
_ch0_neuron0,	158.5429
_ch0_neuron0,	159.5006
_ch0_neuron0,	160.4452
_ch0_neuron0,	161.3802
_ch0_neuron0,	162.3012
_ch0_neuron0,	163.1721
_ch0_neuron0,	164.1359
_ch0_neuron0,	165.1270
_ch0_neuron0,	166.0648
_ch0_neuron0,	166.9385
_ch0_neuron0,	167.8331
_ch0_neuron0,	168.7287
_ch0_neuron0,	169.5962
_ch0_neuron0,	170.4354
_ch0_neuron0,	171.3028
_ch0_neuron0,	172.1759
_ch0_neuron0,	173.0228
_ch0_neuron0,	173.8776
_ch0_neuron0,	174.7852
_ch0_neuron0,	175.6675
_ch0_neuron0,	176.4900
_ch0_neuron0,	177.3101
_ch0_neuron0,	178.1574
_ch0_neuron0,	179.0172
_ch0_neuron0,	179.8635
_neuron0threshhig15333,	0.0000
_neuron0threshlow8748,	0.0000
