# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
_ch0_neuron0,	0.4520
_ch0_neuron0,	1.2966
_ch0_neuron0,	2.0976
_ch0_neuron0,	2.8869
_ch0_neuron0,	3.6902
_ch0_neuron0,	4.4588
_ch0_neuron0,	5.2188
_ch0_neuron0,	6.0184
_ch0_neuron0,	6.8463
_ch0_neuron0,	7.6574
_ch0_neuron0,	8.4370
_ch0_neuron0,	9.2433
_ch0_neuron0,	10.0749
_ch0_neuron0,	10.9067
_ch0_neuron0,	11.7062
_ch0_neuron0,	12.5196
_ch0_neuron0,	13.3730
_ch0_neuron0,	14.1755
_ch0_neuron0,	14.9619
_ch0_neuron0,	15.7723
_ch0_neuron0,	16.6154
_ch0_neuron0,	17.4361
_ch0_neuron0,	18.2475
_ch0_neuron0,	19.0867
_ch0_neuron0,	19.9663
_ch0_neuron0,	20.8035
_ch0_neuron0,	21.6360
_ch0_neuron0,	22.4798
_ch0_neuron0,	23.3148
_ch0_neuron0,	24.1069
_ch0_neuron0,	24.9078
_ch0_neuron0,	25.7445
_ch0_neuron0,	26.5694
_ch0_neuron0,	27.3769
_ch0_neuron0,	28.2294
_ch0_neuron0,	29.0814
_ch0_neuron0,	29.8818
_ch0_neuron0,	30.6761
_ch0_neuron0,	31.4733
_ch0_neuron0,	32.2534
_ch0_neuron0,	33.0310
_ch0_neuron0,	33.8281
_ch0_neuron0,	34.6643
_ch0_neuron0,	35.4856
_ch0_neuron0,	36.2799
_ch0_neuron0,	37.1149
_ch0_neuron0,	37.9315
_ch0_neuron0,	38.7454
_ch0_neuron0,	39.5876
_ch0_neuron0,	40.4066
_ch0_neuron0,	41.2031
_ch0_neuron0,	42.0120
_ch0_neuron0,	42.8590
_ch0_neuron0,	43.6770
_ch0_neuron0,	44.4626
_ch0_neuron0,	45.2655
_ch0_neuron0,	46.0785
_ch0_neuron0,	46.8678
_ch0_neuron0,	47.6605
_ch0_neuron0,	48.4796
_ch0_neuron0,	49.3013
_ch0_neuron0,	50.0983
_ch0_neuron0,	50.9534
_ch0_neuron0,	51.8085
_ch0_neuron0,	52.6273
_ch0_neuron0,	53.4739
_ch0_neuron0,	54.3338
_ch0_neuron0,	55.1596
_ch0_neuron0,	55.9724
_ch0_neuron0,	56.8124
_ch0_neuron0,	57.6586
_ch0_neuron0,	58.4778
_ch0_neuron0,	59.2880
_ch0_neuron0,	60.1354
_ch0_neuron0,	60.9910
_ch0_neuron0,	61.8180
_ch0_neuron0,	62.6731
_ch0_neuron0,	63.5299
_ch0_neuron0,	64.3553
_ch0_neuron0,	65.1660
_ch0_neuron0,	66.0107
_ch0_neuron0,	66.8778
_ch0_neuron0,	67.7146
_ch0_neuron0,	68.5562
_ch0_neuron0,	69.4255
_ch0_neuron0,	70.3097
_ch0_neuron0,	71.1471
_ch0_neuron0,	71.9766
_ch0_neuron0,	72.8374
_ch0_neuron0,	73.6640
_ch0_neuron0,	74.4674
_ch0_neuron0,	75.2912
_ch0_neuron0,	76.1116
_ch0_neuron0,	76.9053
_ch0_neuron0,	77.7154
_ch0_neuron0,	78.5585
_ch0_neuron0,	79.3968
_ch0_neuron0,	80.2029
_ch0_neuron0,	81.0302
_ch0_neuron0,	81.8739
_ch0_neuron0,	82.6886
_ch0_neuron0,	83.4807
_ch0_neuron0,	84.3026
_ch0_neuron0,	85.1212
_ch0_neuron0,	85.9076
_ch0_neuron0,	86.6975
_ch0_neuron0,	87.4720
_ch0_neuron0,	88.1999
_ch0_neuron0,	88.9161
_ch0_neuron0,	89.6619
_ch0_neuron0,	90.4437
_ch0_neuron0,	91.2221
_ch0_neuron0,	92.0318
