# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
_ch0_neuron0,	0.2125
_ch0_neuron0,	1.0023
_ch0_neuron0,	1.7636
_ch0_neuron0,	2.6337
_ch0_neuron0,	3.6895
_ch0_neuron0,	4.7183
_ch0_neuron0,	5.7124
_ch0_neuron0,	6.6835
_ch0_neuron0,	7.6091
_ch0_neuron0,	8.4495
_ch0_neuron0,	9.2908
_ch0_neuron0,	10.2250
_ch0_neuron0,	11.1850
_ch0_neuron0,	12.0705
_ch0_neuron0,	12.9111
_ch0_neuron0,	13.8432
_ch0_neuron0,	14.8188
_ch0_neuron0,	15.7719
_ch0_neuron0,	16.6907
_ch0_neuron0,	17.5397
_ch0_neuron0,	18.3136
_ch0_neuron0,	19.0409
_ch0_neuron0,	19.7715
_ch0_neuron0,	20.6254
_ch0_neuron0,	21.6385
_ch0_neuron0,	22.5691
_ch0_neuron0,	23.3179
_ch0_neuron0,	24.0372
_ch0_neuron0,	24.7654
_ch0_neuron0,	25.5553
_ch0_neuron0,	26.5208
_ch0_neuron0,	27.4920
_ch0_neuron0,	28.4704
_ch0_neuron0,	29.4448
_ch0_neuron0,	30.3959
_ch0_neuron0,	31.2586
_ch0_neuron0,	32.0890
_ch0_neuron0,	32.9464
_ch0_neuron0,	33.8709
_ch0_neuron0,	34.8284
_ch0_neuron0,	35.7803
_ch0_neuron0,	36.7319
_ch0_neuron0,	37.6681
_ch0_neuron0,	38.5192
_ch0_neuron0,	39.3848
_ch0_neuron0,	40.2896
_ch0_neuron0,	41.2019
_ch0_neuron0,	42.1097
_ch0_neuron0,	42.9794
_ch0_neuron0,	43.7664
_ch0_neuron0,	44.5389
_ch0_neuron0,	45.4128
_ch0_neuron0,	46.3502
_ch0_neuron0,	47.2702
_ch0_neuron0,	48.1660
_ch0_neuron0,	48.9977
_ch0_neuron0,	49.7815
_ch0_neuron0,	50.6058
_ch0_neuron0,	51.4442
_ch0_neuron0,	52.3534
_ch0_neuron0,	53.2412
_ch0_neuron0,	54.0457
_ch0_neuron0,	54.8397
_ch0_neuron0,	55.7225
_ch0_neuron0,	56.6103
_ch0_neuron0,	57.5274
_ch0_neuron0,	58.3760
_ch0_neuron0,	59.1580
_ch0_neuron0,	59.9794
_ch0_neuron0,	60.8366
_ch0_neuron0,	61.7662
_ch0_neuron0,	62.7102
_ch0_neuron0,	63.5990
_ch0_neuron0,	64.5274
_ch0_neuron0,	65.4888
_ch0_neuron0,	66.3731
_ch0_neuron0,	67.1910
_ch0_neuron0,	68.0602
_ch0_neuron0,	69.0206
_ch0_neuron0,	69.9819
_ch0_neuron0,	70.8159
_ch0_neuron0,	71.5990
_ch0_neuron0,	72.4230
_ch0_neuron0,	73.3276
_ch0_neuron0,	74.1355
_ch0_neuron0,	75.0119
_ch0_neuron0,	75.9896
_ch0_neuron0,	76.9531
_ch0_neuron0,	77.8286
_ch0_neuron0,	78.6764
_ch0_neuron0,	79.5798
_ch0_neuron0,	80.5115
_ch0_neuron0,	81.4298
