# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
_ch0_neuron0,	0.3281
_ch0_neuron0,	1.0137
_ch0_neuron0,	1.6878
_ch0_neuron0,	2.3526
_ch0_neuron0,	3.0334
_ch0_neuron0,	3.7464
_ch0_neuron0,	4.4646
_ch0_neuron0,	5.1925
_ch0_neuron0,	5.9138
_ch0_neuron0,	6.6355
_ch0_neuron0,	7.3451
_ch0_neuron0,	8.0304
_ch0_neuron0,	8.7104
_ch0_neuron0,	9.3891
_ch0_neuron0,	10.0539
_ch0_neuron0,	10.7151
_ch0_neuron0,	11.4019
_ch0_neuron0,	12.0685
_ch0_neuron0,	12.7496
_ch0_neuron0,	13.4712
_ch0_neuron0,	14.1997
_ch0_neuron0,	14.9384
_ch0_neuron0,	15.6934
_ch0_neuron0,	16.4768
_ch0_neuron0,	17.2580
_ch0_neuron0,	18.0503
_ch0_neuron0,	18.8165
_ch0_neuron0,	19.5773
_ch0_neuron0,	20.3171
_ch0_neuron0,	21.0626
_ch0_neuron0,	21.8293
_ch0_neuron0,	22.6176
_ch0_neuron0,	23.4364
_ch0_neuron0,	24.2608
_ch0_neuron0,	25.0915
_ch0_neuron0,	25.9133
_ch0_neuron0,	26.7178
_ch0_neuron0,	27.5098
_ch0_neuron0,	28.2691
_ch0_neuron0,	29.0248
_ch0_neuron0,	29.7729
_ch0_neuron0,	30.5272
_ch0_neuron0,	31.2811
_ch0_neuron0,	32.0198
_ch0_neuron0,	32.7428
_ch0_neuron0,	33.4752
_ch0_neuron0,	34.1954
_ch0_neuron0,	34.9081
_ch0_neuron0,	35.6394
_ch0_neuron0,	36.3751
_ch0_neuron0,	37.1149
_ch0_neuron0,	37.8507
_ch0_neuron0,	38.6023
_ch0_neuron0,	39.3761
_ch0_neuron0,	40.1176
_ch0_neuron0,	40.8420
_ch0_neuron0,	41.5709
_ch0_neuron0,	42.3050
_ch0_neuron0,	43.0269
_ch0_neuron0,	43.7480
_ch0_neuron0,	44.4778
_ch0_neuron0,	45.1823
_ch0_neuron0,	45.8897
_ch0_neuron0,	46.6100
_ch0_neuron0,	47.3491
_ch0_neuron0,	48.0939
_ch0_neuron0,	48.8440
_ch0_neuron0,	49.6152
_ch0_neuron0,	50.3781
_ch0_neuron0,	51.1336
_ch0_neuron0,	51.8814
_ch0_neuron0,	52.6172
_ch0_neuron0,	53.3580
_ch0_neuron0,	54.0801
_ch0_neuron0,	54.8206
_ch0_neuron0,	55.5825
_ch0_neuron0,	56.3810
_ch0_neuron0,	57.1799
_ch0_neuron0,	58.0082
_ch0_neuron0,	58.8576
_ch0_neuron0,	59.7173
_ch0_neuron0,	60.5868
_ch0_neuron0,	61.4433
_ch0_neuron0,	62.2896
_ch0_neuron0,	63.1292
_ch0_neuron0,	63.9554
_ch0_neuron0,	64.7636
_ch0_neuron0,	65.5747
_ch0_neuron0,	66.3067
_ch0_neuron0,	67.0234
_ch0_neuron0,	67.7352
_ch0_neuron0,	68.4671
_ch0_neuron0,	69.2165
_ch0_neuron0,	69.9795
_ch0_neuron0,	70.7632
_ch0_neuron0,	71.5644
_ch0_neuron0,	72.3700
_ch0_neuron0,	73.1716
_ch0_neuron0,	73.9611
_ch0_neuron0,	74.7808
_ch0_neuron0,	75.5662
_ch0_neuron0,	76.3461
_ch0_neuron0,	77.0890
_ch0_neuron0,	77.8363
_ch0_neuron0,	78.6099
_ch0_neuron0,	79.3906
_ch0_neuron0,	80.1577
_ch0_neuron0,	80.9223
_ch0_neuron0,	81.6851
_ch0_neuron0,	82.4540
_ch0_neuron0,	83.2146
_ch0_neuron0,	83.9777
_ch0_neuron0,	84.7544
_ch0_neuron0,	85.5276
_ch0_neuron0,	86.2829
_ch0_neuron0,	87.0149
_ch0_neuron0,	87.7389
_ch0_neuron0,	88.4550
_ch0_neuron0,	89.1631
_ch0_neuron0,	89.8846
_ch0_neuron0,	90.6215
_ch0_neuron0,	91.3564
_ch0_neuron0,	92.1115
_ch0_neuron0,	92.8750
_ch0_neuron0,	93.6242
_ch0_neuron0,	94.3614
_ch0_neuron0,	95.0639
_ch0_neuron0,	95.7365
_ch0_neuron0,	96.3711
_ch0_neuron0,	96.9944
_ch0_neuron0,	97.6623
_ch0_neuron0,	98.3540
_ch0_neuron0,	99.1034
