# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
_ch0_neuron0,	0.5692
_ch0_neuron0,	1.3311
_ch0_neuron0,	1.5953
_ch0_neuron0,	2.0578
_ch0_neuron0,	2.8030
_ch0_neuron0,	3.5675
_ch0_neuron0,	4.3095
_ch0_neuron0,	5.0249
_ch0_neuron0,	5.7631
_ch0_neuron0,	6.5454
_ch0_neuron0,	7.3410
_ch0_neuron0,	8.1172
_ch0_neuron0,	8.9231
_ch0_neuron0,	9.7495
_ch0_neuron0,	10.5194
_ch0_neuron0,	11.2835
_ch0_neuron0,	12.0632
_ch0_neuron0,	12.8463
_ch0_neuron0,	13.6083
_ch0_neuron0,	13.8706
_ch0_neuron0,	14.3474
_ch0_neuron0,	15.1011
_ch0_neuron0,	15.8814
_ch0_neuron0,	16.6445
_ch0_neuron0,	17.3632
_ch0_neuron0,	18.0923
_ch0_neuron0,	18.8408
_ch0_neuron0,	19.6204
_ch0_neuron0,	20.3581
_ch0_neuron0,	21.1198
_ch0_neuron0,	21.8728
_ch0_neuron0,	22.6343
_ch0_neuron0,	23.3656
_ch0_neuron0,	24.1154
_ch0_neuron0,	24.8545
_ch0_neuron0,	25.5762
_ch0_neuron0,	26.2647
_ch0_neuron0,	26.9467
_ch0_neuron0,	27.6285
_ch0_neuron0,	28.3544
_ch0_neuron0,	29.0944
_ch0_neuron0,	29.8848
_ch0_neuron0,	30.7011
_ch0_neuron0,	31.4591
_ch0_neuron0,	32.1935
_ch0_neuron0,	32.9385
_ch0_neuron0,	33.7009
_ch0_neuron0,	34.4807
_ch0_neuron0,	35.2034
_ch0_neuron0,	35.9286
_ch0_neuron0,	36.6482
_ch0_neuron0,	37.3547
_ch0_neuron0,	38.0408
_ch0_neuron0,	38.7636
_ch0_neuron0,	39.5094
_ch0_neuron0,	40.2756
_ch0_neuron0,	40.5552
_ch0_neuron0,	41.0098
_ch0_neuron0,	41.7625
_ch0_neuron0,	42.5231
_ch0_neuron0,	43.2651
_ch0_neuron0,	43.9923
_ch0_neuron0,	44.7220
_ch0_neuron0,	45.4626
_ch0_neuron0,	46.1621
_ch0_neuron0,	46.8660
_ch0_neuron0,	47.5695
_ch0_neuron0,	48.2788
_ch0_neuron0,	48.9643
_ch0_neuron0,	49.6596
_ch0_neuron0,	50.3532
_ch0_neuron0,	51.0980
_ch0_neuron0,	51.8309
_ch0_neuron0,	52.5782
_ch0_neuron0,	53.3468
_ch0_neuron0,	54.1297
_ch0_neuron0,	54.8649
_ch0_neuron0,	55.6132
_ch0_neuron0,	56.3838
_ch0_neuron0,	57.1567
_ch0_neuron0,	57.8796
_ch0_neuron0,	58.1478
_ch0_neuron0,	58.6157
_ch0_neuron0,	59.3738
_ch0_neuron0,	60.1334
_ch0_neuron0,	60.8474
_ch0_neuron0,	61.5627
_ch0_neuron0,	62.2872
_ch0_neuron0,	63.0417
_ch0_neuron0,	63.8417
_ch0_neuron0,	64.6654
_ch0_neuron0,	65.4640
_ch0_neuron0,	65.7285
_ch0_neuron0,	66.2362
_ch0_neuron0,	67.0079
_ch0_neuron0,	67.2753
_ch0_neuron0,	67.7357
_ch0_neuron0,	68.4269
_ch0_neuron0,	69.1346
_ch0_neuron0,	69.8348
_ch0_neuron0,	70.5546
_ch0_neuron0,	71.2431
_ch0_neuron0,	71.9563
_ch0_neuron0,	72.6789
_ch0_neuron0,	73.4278
_ch0_neuron0,	74.1531
_ch0_neuron0,	74.8870
_ch0_neuron0,	75.6271
_ch0_neuron0,	76.3720
_ch0_neuron0,	76.6395
_ch0_neuron0,	77.0775
_ch0_neuron0,	77.8081
_ch0_neuron0,	78.5448
_ch0_neuron0,	79.2879
_ch0_neuron0,	79.9990
_ch0_neuron0,	80.7358
_ch0_neuron0,	81.4727
_ch0_neuron0,	82.1819
_ch0_neuron0,	82.9096
_ch0_neuron0,	83.6448
_ch0_neuron0,	84.3737
_ch0_neuron0,	84.6317
_ch0_neuron0,	85.0872
_ch0_neuron0,	85.8215
_ch0_neuron0,	86.5570
_ch0_neuron0,	87.2684
_ch0_neuron0,	87.9692
_ch0_neuron0,	88.6751
_ch0_neuron0,	89.3972
_ch0_neuron0,	90.1549
_ch0_neuron0,	90.4194
_ch0_neuron0,	90.8983
_ch0_neuron0,	91.6820
_ch0_neuron0,	92.4872
_ch0_neuron0,	93.2564
_ch0_neuron0,	93.9899
_ch0_neuron0,	94.7087
_ch0_neuron0,	95.4072
_ch0_neuron0,	96.0895
_ch0_neuron0,	96.7676
_ch0_neuron0,	97.4570
_ch0_neuron0,	98.1523
_ch0_neuron0,	98.8434
_ch0_neuron0,	99.5582
_ch0_neuron0,	100.2851
_ch0_neuron0,	101.0086
_ch0_neuron0,	101.6984
_ch0_neuron0,	102.4000
_ch0_neuron0,	103.0963
_ch0_neuron0,	103.7990
_ch0_neuron0,	104.4888
_ch0_neuron0,	105.2122
_ch0_neuron0,	105.9338
_ch0_neuron0,	106.6431
_ch0_neuron0,	107.3663
_ch0_neuron0,	108.1018
_ch0_neuron0,	108.8334
_ch0_neuron0,	109.5340
_ch0_neuron0,	110.2625
_ch0_neuron0,	110.9885
_ch0_neuron0,	111.7116
_ch0_neuron0,	112.4074
_ch0_neuron0,	113.1149
_ch0_neuron0,	113.8324
_ch0_neuron0,	114.5739
_ch0_neuron0,	115.2790
_ch0_neuron0,	116.0122
_ch0_neuron0,	116.7506
_ch0_neuron0,	117.5000
_ch0_neuron0,	117.7769
_ch0_neuron0,	118.2252
_ch0_neuron0,	118.5000
_ch0_neuron0,	118.9472
_ch0_neuron0,	119.6876
_ch0_neuron0,	120.4511
_ch0_neuron0,	121.2169
_ch0_neuron0,	121.9537
_ch0_neuron0,	122.7164
_ch0_neuron0,	123.4810
_ch0_neuron0,	124.2291
_ch0_neuron0,	124.9474
_ch0_neuron0,	125.6787
_ch0_neuron0,	126.4076
_ch0_neuron0,	127.1486
_ch0_neuron0,	127.8656
_ch0_neuron0,	128.1501
_ch0_neuron0,	128.5775
_ch0_neuron0,	129.3119
_ch0_neuron0,	130.0694
_ch0_neuron0,	130.8038
_ch0_neuron0,	131.0643
